year,season,province,variety,area_old,area_updated,_merge,area_diff,area_abs_diff
2015,inseason,Krabi,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Lampang,กข15,132779.0,4297.0,both,-128482.0,128482.0
2015,inseason,Lampang,กข6,9081998.0,293912.0,both,-8788086.0,8788086.0
2015,inseason,Lampang,ขาวดอกมะลิ105,938816.0,30382.0,both,-908434.0,908434.0
2015,inseason,Lampang,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Lampang,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Lampang,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Lampang,พันธุ์พื้นเมือง,211853.0,6856.0,both,-204997.0,204997.0
2015,inseason,Lampang,ราชการไม่ไวต่อช่วงแสง,1306901.0,42293.0,both,-1264608.0,1264608.0
2015,inseason,Lampang,ราชการไวต่อช่วงแสง,608213.0,19683.0,both,-588530.0,588530.0
2015,inseason,Lampang,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Lampang,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Lampang,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Lamphun,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Lamphun,กข6,1855439.0,60247.0,both,-1795192.0,1795192.0
2015,inseason,Lamphun,ขาวดอกมะลิ105,348717.0,11323.0,both,-337394.0,337394.0
2015,inseason,Lamphun,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Lamphun,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Lamphun,ปทุมธานี1,18263.0,593.0,both,-17670.0,17670.0
2015,inseason,Lamphun,พันธุ์พื้นเมือง,313546.0,10181.0,both,-303365.0,303365.0
2015,inseason,Lamphun,ราชการไม่ไวต่อช่วงแสง,517978.0,16819.0,both,-501159.0,501159.0
2015,inseason,Lamphun,ราชการไวต่อช่วงแสง,155988.0,5065.0,both,-150923.0,150923.0
2015,inseason,Lamphun,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Lamphun,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Lamphun,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Loei,กข15,30545.0,992.0,both,-29553.0,29553.0
2015,inseason,Loei,กข6,5481855.0,178032.0,both,-5303823.0,5303823.0
2015,inseason,Loei,ขาวดอกมะลิ105,207288.0,6732.0,both,-200556.0,200556.0
2015,inseason,Loei,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Loei,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Loei,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Loei,พันธุ์พื้นเมือง,1653129.0,53689.0,both,-1599440.0,1599440.0
2015,inseason,Loei,ราชการไม่ไวต่อช่วงแสง,1186547.0,38535.0,both,-1148012.0,1148012.0
2015,inseason,Loei,ราชการไวต่อช่วงแสง,1824544.0,59256.0,both,-1765288.0,1765288.0
2015,inseason,Loei,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Loei,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Loei,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Lop Buri,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Lop Buri,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Lop Buri,ขาวดอกมะลิ105,6246825.0,203475.0,both,-6043350.0,6043350.0
2015,inseason,Lop Buri,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Lop Buri,ชัยนาท1,1389974.0,45275.0,both,-1344699.0,1344699.0
2015,inseason,Lop Buri,ปทุมธานี1,2469349.0,80433.0,both,-2388916.0,2388916.0
2015,inseason,Lop Buri,พันธุ์พื้นเมือง,787043.0,25636.0,both,-761407.0,761407.0
2015,inseason,Lop Buri,ราชการไม่ไวต่อช่วงแสง,5871724.0,191257.0,both,-5680467.0,5680467.0
2015,inseason,Lop Buri,ราชการไวต่อช่วงแสง,160749.0,5236.0,both,-155513.0,155513.0
2015,inseason,Lop Buri,สุพรรณบุรี1,1951429.0,63563.0,both,-1887866.0,1887866.0
2015,inseason,Lop Buri,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Lop Buri,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Mae Hong Son,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Mae Hong Son,กข6,180731.0,5886.0,both,-174845.0,174845.0
